            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
amp[0]     0.760  0.574   0.000    1.791      0.002    0.001  126628.0  113270.0    NaN
amp[1]     0.712  0.513   0.000    1.614      0.002    0.001   71275.0  103914.0    NaN
amp[2]     0.599  0.457   0.000    1.419      0.002    0.001   77071.0  113390.0    NaN
amp[3]     0.558  0.431   0.000    1.334      0.002    0.001   81558.0  119662.0    NaN
amp[4]     0.614  0.466   0.000    1.447      0.002    0.001   66888.0   81105.0    NaN
amp[5]     0.761  0.523   0.000    1.673      0.002    0.001   62053.0   98580.0    NaN
amp[6]     0.781  0.587   0.000    1.848      0.004    0.003   28471.0   45122.0    NaN
amp[7]     0.619  0.488   0.000    1.516      0.002    0.002   54363.0   84276.0    NaN
amp[8]     0.634  0.461   0.000    1.453      0.002    0.001   81822.0  110743.0    NaN
amp[9]     0.779  0.520   0.000    1.671      0.002    0.001   69475.0   98693.0    NaN
amp[10]    0.705  0.487   0.000    1.552      0.002    0.001   73747.0  100664.0    NaN
amp[11]    0.568  0.436   0.000    1.352      0.002    0.001   70601.0  109703.0    NaN
amp[12]    0.729  0.484   0.000    1.551      0.002    0.001   61620.0   97723.0    NaN
amp[13]    0.691  0.497   0.000    1.571      0.002    0.001   65096.0  104053.0    NaN
amp[14]    0.797  0.508   0.000    1.654      0.002    0.001   74827.0   96313.0    NaN
amp[15]    0.687  0.485   0.000    1.539      0.002    0.001   58787.0  104530.0    NaN
amp[16]    0.583  0.432   0.000    1.349      0.001    0.001   84183.0  110058.0    NaN
amp[17]    0.646  0.449   0.000    1.425      0.002    0.001   70441.0  106941.0    NaN
amp[18]    0.525  0.405   0.000    1.248      0.001    0.001  102849.0  109111.0    NaN
amp[19]    0.490  0.381   0.000    1.169      0.001    0.001   92136.0  109947.0    NaN
phase[0]   0.774  1.795  -2.363   -2.894      0.014    0.005   71385.0  140102.0    NaN
phase[1]  -1.322  1.331   2.075    1.128      0.005    0.005   57195.0   84522.0    NaN
phase[2]  -3.096  1.634   0.421   -0.220      0.009    0.004   77615.0  109534.0    NaN
phase[3]   2.364  1.844  -0.458   -0.996      0.008    0.005   67120.0  112087.0    NaN
phase[4]   1.164  1.746  -1.977   -2.566      0.020    0.007   43350.0  104554.0    NaN
phase[5]  -0.290  1.321  -2.861    2.235      0.006    0.012   23972.0   97311.0    NaN
phase[6]  -2.483  1.252   0.704   -0.237      0.004    0.004   69503.0   75199.0    NaN
phase[7]   1.278  2.643  -1.379   -1.864      0.026    0.007   38319.0   89897.0    NaN
phase[8]   1.880  1.633  -0.791   -1.583      0.014    0.005   49061.0   72462.0    NaN
phase[9]  -1.542  1.247   2.390    1.271      0.007    0.006   40089.0   46918.0    NaN
phase[10]  2.006  1.298  -0.470   -1.456      0.002    0.005   53881.0   72564.0    NaN
phase[11] -3.079  1.654   0.319   -0.296      0.010    0.004   76763.0  102589.0    NaN
phase[12]  0.227  1.221  -2.425    2.706      0.010    0.012   23735.0   93056.0    NaN
phase[13] -2.593  1.374   0.724   -0.286      0.006    0.004   68597.0   88304.0    NaN
phase[14] -0.008  1.077  -2.278    2.441      0.006    0.014   19290.0  103823.0    NaN
phase[15] -3.091  1.341   0.415   -0.581      0.008    0.003   81169.0   87675.0    NaN
phase[16] -0.770  1.565   3.031    2.301      0.006    0.007   50872.0  117085.0    NaN
phase[17]  2.860  1.281   0.264   -0.722      0.006    0.003   89033.0   88204.0    NaN
phase[18]  0.949  1.973  -1.884   -2.382      0.010    0.005   65276.0  127422.0    NaN
phase[19] -1.347  1.982   2.258    1.775      0.015    0.005   63288.0  125923.0    NaN
