             mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
amp[0]      0.724  0.533   0.005    1.684      0.069    0.049      42.0      11.0    NaN
amp[1]      0.636  0.530   0.006    1.593      0.087    0.062      24.0      59.0    NaN
amp[2]      0.751  0.475   0.088    1.589      0.065    0.046      44.0     135.0    NaN
amp[3]      0.412  0.418   0.008    1.226      0.079    0.056      18.0      21.0    NaN
amp[4]      0.656  0.476   0.008    1.502      0.080    0.057      29.0      38.0    NaN
amp[5]      0.793  0.499   0.018    1.655      0.079    0.057      34.0      20.0    NaN
amp[6]      0.685  0.444   0.072    1.537      0.111    0.080      10.0      50.0    NaN
amp[7]      0.693  0.455   0.017    1.505      0.090    0.064      21.0      89.0    NaN
amp[8]      0.711  0.448   0.060    1.488      0.052    0.037      66.0     124.0    NaN
amp[9]      0.652  0.511   0.031    1.617      0.077    0.055      41.0     109.0    NaN
amp[10]     0.622  0.425   0.025    1.394      0.068    0.049      34.0      78.0    NaN
amp[11]     0.515  0.482   0.003    1.395      0.114    0.082       8.0      18.0    NaN
amp[12]     0.601  0.447   0.020    1.430      0.100    0.072      16.0      44.0    NaN
amp[13]     0.666  0.504   0.022    1.549      0.094    0.067      21.0      29.0    NaN
amp[14]     0.650  0.451   0.007    1.446      0.081    0.058      24.0      20.0    NaN
amp[15]     0.563  0.422   0.015    1.334      0.086    0.062      23.0      52.0    NaN
amp[16]     0.562  0.456   0.005    1.362      0.109    0.078      10.0      14.0    NaN
amp[17]     0.657  0.461   0.017    1.491      0.051    0.036      59.0      73.0    NaN
amp[18]     0.657  0.459   0.007    1.467      0.081    0.058      26.0      47.0    NaN
amp[19]     0.218  0.383   0.000    0.977      0.112    0.082       7.0      16.0    NaN
phase[0]    0.292  2.457  -2.849    2.957      0.242    0.020    4812.0   18296.0    NaN
phase[1]   -0.173  2.315  -2.823    2.961      0.642    0.059     882.0    1530.0    NaN
phase[2]    2.042  2.519  -0.697   -1.100      0.692    0.102     224.0    1713.0    NaN
phase[3]   -0.188  2.622   3.001    2.552      0.583    0.061     683.0    2849.0    NaN
phase[4]    0.894  2.640  -1.965   -2.248      0.882    0.121     162.0     859.0    NaN
phase[5]   -0.612  2.866   2.530    2.304      0.856    0.160     430.0     736.0    NaN
phase[6]    1.549  1.835  -1.592   -1.986      0.169    0.087     264.0    1787.0    NaN
phase[7]   -0.532  2.358   3.099    2.426      0.506    0.060     518.0    1960.0    NaN
phase[8]   -0.342  2.449   2.802    2.189      0.578    0.083     745.0    2530.0    NaN
phase[9]    1.490  2.318  -1.635   -2.264      0.353    0.059     737.0    2119.0    NaN
phase[10]   0.447  2.577  -2.694    2.892      0.674    0.043    1108.0    6233.0    NaN
phase[11]  -0.975  2.668   2.688    2.163      0.818    0.045     941.0    2197.0    NaN
phase[12]   0.197  2.145  -2.943    2.957      0.339    0.061    1533.0    2464.0    NaN
phase[13]  -0.824  2.669   2.755    2.314      0.685    0.056     641.0    4718.0    NaN
phase[14]   1.474  2.591  -1.192   -1.840      0.504    0.056    3359.0    3639.0    NaN
phase[15]   0.808  2.641  -2.333   -2.911      0.554    0.036    1631.0    9005.0    NaN
phase[16]   0.465  2.552  -2.676    3.137      0.631    0.036    2024.0    5307.0    NaN
phase[17]  -1.200  2.271   2.365    1.941      0.245    0.043    1111.0    5582.0    NaN
phase[18]  -0.489  2.416   2.653    2.204      0.329    0.035    2735.0    6508.0    NaN
phase[19]  -0.079  2.456  -2.810    2.907      0.158    0.024    3452.0   12611.0    NaN
pmu[0]      0.039  2.241  -2.881    2.531      0.111    0.012   11326.0   28913.0    NaN
pmu[1]     -0.170  2.087  -2.508    2.878      0.091    0.035    1780.0    3530.0    NaN
pmu[2]      0.274  2.383  -2.546    2.847      0.401    0.064     489.0   17919.0    NaN
pmu[3]      0.152  2.188  -2.848    2.545      0.282    0.039    1114.0    8303.0    NaN
pmu[4]      0.276  2.092  -2.860    2.469      0.304    0.069     371.0    1487.0    NaN
pmu[5]      0.071  2.265  -2.575    2.881      0.239    0.062    1247.0    2476.0    NaN
pmu[6]      0.963  2.096  -1.894   -2.299      0.228    0.049     765.0   12463.0    NaN
pmu[7]     -0.476  2.176  -2.878    2.513      0.325    0.039    1017.0    3453.0    NaN
pmu[8]     -0.161  2.203  -2.878    2.530      0.231    0.036    2339.0    3284.0    NaN
pmu[9]      0.528  2.174  -2.472    2.881      0.194    0.038    1154.0   11314.0    NaN
pmu[10]     0.124  2.258  -2.746    2.630      0.284    0.025    2943.0   16983.0    NaN
pmu[11]    -0.541  2.353  -2.881    2.530      0.281    0.029    2263.0   18175.0    NaN
pmu[12]     0.153  1.985  -2.548    2.881      0.131    0.036    2348.0    4473.0    NaN
pmu[13]    -0.273  2.277  -2.616    2.762      0.322    0.038    1207.0    8878.0    NaN
pmu[14]     0.173  2.268  -2.810    2.657      0.052    0.028   10334.0    6566.0    NaN
pmu[15]     0.037  2.244  -2.532    2.824      0.188    0.027    2461.0   26454.0    NaN
pmu[16]     0.214  2.230  -2.526    2.873      0.199    0.024    2684.0    8715.0    NaN
pmu[17]    -0.424  2.229  -2.832    2.538      0.146    0.029    2340.0   14395.0    NaN
pmu[18]    -0.124  2.138  -2.877    2.528      0.215    0.025    2544.0    4944.0    NaN
pmu[19]     0.005  2.209  -2.828    2.565      0.146    0.021    3885.0   15087.0    NaN
psigma[0]   1.246  0.895   0.098    2.931      0.149    0.106      29.0      39.0    NaN
psigma[1]   0.966  0.856   0.038    2.553      0.143    0.102      29.0      92.0    NaN
psigma[2]   1.321  0.883   0.122    3.000      0.350    0.260       6.0      76.0    NaN
psigma[3]   1.341  0.981   0.040    3.119      0.136    0.097      41.0      80.0    NaN
psigma[4]   1.046  0.908   0.038    2.661      0.230    0.166      15.0      45.0    NaN
psigma[5]   1.292  0.855   0.058    2.879      0.107    0.076      44.0      35.0    NaN
psigma[6]   1.351  0.950   0.043    3.106      0.241    0.174      12.0      40.0    NaN
psigma[7]   1.362  0.918   0.148    2.990      0.143    0.102      31.0      51.0    NaN
psigma[8]   1.352  0.994   0.038    3.027      0.202    0.145      18.0      17.0    NaN
psigma[9]   1.190  0.890   0.038    2.788      0.408    0.308       4.0      45.0    NaN
psigma[10]  1.362  0.899   0.046    2.958      0.114    0.081      49.0      42.0    NaN
psigma[11]  1.173  0.897   0.038    2.726      0.169    0.121      19.0      13.0    NaN
psigma[12]  1.069  0.960   0.038    2.811      0.356    0.263       5.0      70.0    NaN
psigma[13]  1.227  0.950   0.038    2.947      0.127    0.090      41.0     102.0    NaN
psigma[14]  1.455  0.946   0.079    3.150      0.193    0.138      18.0      21.0    NaN
psigma[15]  1.313  1.074   0.038    3.293      0.147    0.104      44.0      53.0    NaN
psigma[16]  0.961  0.926   0.038    2.657      0.396    0.297       4.0      62.0    NaN
psigma[17]  1.246  0.888   0.042    2.855      0.114    0.081      46.0      61.0    NaN
psigma[18]  1.468  0.955   0.038    3.068      0.279    0.202       9.0      24.0    NaN
psigma[19]  1.019  0.901   0.038    2.618      0.150    0.107      31.0      67.0    NaN
